instrument,samba,mix,sdr,isr,sir,sar,perm
TT,PA,9,-4.900337224705882,1.3700227187822365,-11.251572866708727,8.685401731900914,8.0
AG,PA,10,1.4887464738787675,4.843012419583527,2.2195054341190157,7.080797019905798,0.0
CX,PA,10,0.1332631259653341,0.41734014266434305,-8.974339714160346,4.293917287503624,1.0
CU,PA,10,7.9079999056768076,12.108240982091754,11.78458909393105,10.556936834546168,2.0
PD,PA,10,0.038552656355640154,0.18469471690438094,-8.053405960665712,6.774838970650348,3.0
RR,PA,10,-0.010214513345281992,0.5538095009353043,-12.062574133347505,3.2996357589210317,4.0
RP,PA,10,-0.19559603736744718,0.007929532061628414,-25.808538744336182,5.921050887913967,5.0
SK,PA,10,-9.167792363248584,-0.031448048806764176,-28.649562667807402,16.814905507280056,6.0
SU,PA,10,-0.25365043180489233,0.002600777661282938,-40.721599655389824,3.6409578805485014,7.0
TB,PA,10,-7.463616045993573,1.8588334836059388,-17.3410169769307,9.828101852409432,8.0
TT,PA,10,-4.710118107357656,1.2304455200790332,-13.488354590775304,9.446696975900736,9.0
AG,SA,2,15.213979179053922,21.18914607069408,23.44482067232383,18.447567107248737,0
CX,SA,2,9.946416107467833,16.06380980042768,16.496802997718973,12.631512533753483,0
CU,SA,2,15.688712654508594,19.93800474448528,31.221277687950746,17.948281631316092,0
PD,SA,2,6.019459472383422,13.326625420355441,7.7286228773505785,17.844735500082336,0
RR,SA,2,5.0081852647732035,9.976970632621095,11.509705364705678,8.505330787607155,0
RP,SA,2,13.024185124414524,20.61666673225193,21.637068280620085,15.386346029098917,1
SK,SA,2,11.982713672708776,13.885841440400391,19.894794285804185,14.191086111334295,1
SU,SA,2,18.02169534123594,45.630361627122355,20.174773137038663,27.760009994184067,1
TB,SA,2,3.4037851242089885,15.452553706852408,10.758513428369465,15.203456292824695,1
TT,SA,2,8.304743865292355,31.866280460231145,10.43359846275893,18.53956554760582,1
AG,SA,3,13.287831969914283,19.098384302077022,19.51695903965509,17.07768042066394,0.0
CX,SA,3,2.8298887233185748,3.1637618017408613,9.586670890196405,7.377762822947876,0.0
CU,SA,3,12.75780974181884,16.779934160431104,23.31045072946714,15.668029041675666,0.0
PD,SA,3,0.5459934224377085,0.7700354371887798,3.9167508362792915,8.99244062645609,1.0
RR,SA,3,3.0038902558343334,4.67624844513766,6.6254480003832406,7.904084829980951,1.0
RP,SA,3,0.012397947032683012,0.5854975697188547,-3.394357885846755,9.436489781027895,1.0
SK,SA,3,3.998908794258129,7.308792063987728,12.72949893715339,11.769146590917316,1.0
SU,SA,3,11.94692686970627,40.54653304507607,12.322982312032018,21.36145923377014,2.0
TB,SA,3,0.563126240768766,4.410979408054098,-0.2231163718129015,11.851853517059926,2.0
TT,SA,3,3.868905260786228,19.891389807552656,2.9738905830716367,14.223111644534468,2.0
AG,SA,4,11.94671658568419,17.27088852057986,17.44571952508279,15.070905054710787,0.0
CX,SA,4,1.3351733637038607,1.6156788185923467,3.5577083043307334,5.266683793456999,0.0
CU,SA,4,11.47231361977098,15.088717564275724,21.58022750688049,14.300844430582591,1.0
PD,SA,4,0.30192548495973137,0.5856777853880083,0.1773221141820585,7.9386157491005775,1.0
RR,SA,4,-0.6275030652029101,3.039603646791822,-6.472700090141139,7.291952795750801,1.0
RP,SA,4,-0.3183138901590178,0.2712991197380459,-14.192958178470192,8.657958817909519,2.0
SK,SA,4,1.777783121584118,3.279290007142911,4.302878540984686,9.753620489255319,2.0
SU,SA,4,4.4872739764183835,22.44617911420778,4.629028835788873,19.363404257253755,2.0
TB,SA,4,-1.5303977078307536,2.5066551000762702,-6.665226975238295,9.959738879757307,3.0
TT,SA,4,-0.5203295514390166,10.073621410033667,-1.4581395665974626,12.01677621888921,3.0
AG,SA,5,10.883168779174095,16.04303075287978,15.946968383636701,13.899137375994098,0.0
CX,SA,5,0.6871330809671847,1.0248893543751878,-0.11152356276754595,4.3545778234074435,0.0
CU,SA,5,10.801354044146226,14.515050050591865,20.014059867090456,13.445453106522343,1.0
PD,SA,5,0.06432717935890743,0.38514843874069427,-4.761650776603936,7.6384420110093885,1.0
RR,SA,5,-3.29922081008236,1.6015806545812175,-14.19872680749123,7.680591214243336,2.0
